TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Unisex t-shirt","Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",23,USD,8991,,,https://i.etsystatic.com/34205481/r/il/1be8bf/4286875074/il_fullxfull.4286875074_1je6.jpg,https://i.etsystatic.com/34205481/r/il/246c78/4334259117/il_fullxfull.4334259117_81mb.jpg,https://i.etsystatic.com/34205481/r/il/437926/4286875150/il_fullxfull.4286875150_ht2e.jpg,https://i.etsystatic.com/34205481/r/il/469b17/4334259181/il_fullxfull.4334259181_r75p.jpg,,,,,,,"Unisex shirt size",Size,"XS,S,M,L,XL,2XL,3XL,4XL,5XL",,,,"63588BF3729E6_9526,63588BF3729E6_4012,63588BF3729E6_4014,63588BF3729E6_4015,63588BF3729E6_12872,63588BF3729E6_4011,63588BF3729E6_4013,63588BF3729E6_5294,63588BF3729E6_5309"
"Custom Tshirt, Women's Tshirt, Trendy Tshirt, Trendy Crewneck","Custom Tee

Crop top that will light up YOUR Fourth of July!  

Print on front and back.

.Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 

***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",39.83,USD,50,"4,July_4_tee,mom_tee,custom_tee,fourth_tee,vintage_tee,Fourth_of_July,party_tee,custom_tshirt,custom_crop,4th_of_July_T,July_4_apparel,Independence_Day_tee",,https://i.etsystatic.com/34205481/r/il/4bede2/4014453259/il_fullxfull.4014453259_gv75.jpg,https://i.etsystatic.com/34205481/r/il/a901cf/4040828652/il_fullxfull.4040828652_eyj0.jpg,https://i.etsystatic.com/34205481/r/il/c2d3f2/3969778602/il_fullxfull.3969778602_p3uk.jpg,https://i.etsystatic.com/34205481/r/il/8e09f5/4017434965/il_fullxfull.4017434965_37j3.jpg,https://i.etsystatic.com/34205481/r/il/9fff75/3966931450/il_fullxfull.3966931450_f8c9.jpg,https://i.etsystatic.com/34205481/r/il/9d6d0e/3966931706/il_fullxfull.3966931706_88gk.jpg,https://i.etsystatic.com/34205481/r/il/f26985/3966935732/il_fullxfull.3966935732_n6ho.jpg,https://i.etsystatic.com/34205481/r/il/8dc5f4/4014593201/il_fullxfull.4014593201_j7it.jpg,https://i.etsystatic.com/34205481/r/il/d416d1/4014593421/il_fullxfull.4014593421_5h1a.jpg,https://i.etsystatic.com/34205481/r/il/b0ef79/3966937194/il_fullxfull.3966937194_jgk5.jpg,"Custom Property",Sizes,"XS,M,L,XL,2XL",,,,"14197085856299843490,19743373829454913046,24894502122603280049,25046009929907780059,26701690676857103505"
"Champion Women's Heritage Cropped T-Shirt, Party Like It's 1776, Crop Top","Custom Tee

Champion Crop Top

Champion is back with another addition – the Champion Heritage t-shirt for women.

With the signature “C” Champion logo patch on the left cuff, durable, double-needle stitching throughout the shirt, and a modern, cropped fit – this shirt has all the markings of an instant classic.

Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. 


***Shipping Methods

First Class (3-5 business days in transit)
Priority (2-3 business days in transit)
Priority Express (1-2 business days in transit)

Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded.

Please leave feedback so I know what I need to do to make my store better fit YOUR needs.

Thank you so much!
Brandy",39.83,USD,50,"4,July_4_tee,mom_tee,custom_tee,fourth_tee,vintage_tee,Fourth_of_July,party_tee,custom_tshirt,4th_of_July_T,July_4_apparel,Independence_Day_tee",,https://i.etsystatic.com/34205481/r/il/514098/4031341153/il_fullxfull.4031341153_2skd.jpg,https://i.etsystatic.com/34205481/r/il/ff0cec/4088469111/il_fullxfull.4088469111_qh3z.jpg,https://i.etsystatic.com/34205481/r/il/11c206/3983686836/il_fullxfull.3983686836_6nmm.jpg,https://i.etsystatic.com/34205481/r/il/81d417/4031341251/il_fullxfull.4031341251_idv5.jpg,https://i.etsystatic.com/34205481/r/il/c639a9/4054526659/il_fullxfull.4054526659_7zqe.jpg,https://i.etsystatic.com/34205481/r/il/60720f/4006881010/il_fullxfull.4006881010_fbj7.jpg,https://i.etsystatic.com/34205481/r/il/318f65/4054527261/il_fullxfull.4054527261_64s8.jpg,https://i.etsystatic.com/34205481/r/il/1fa6ba/4054527713/il_fullxfull.4054527713_dxoc.jpg,https://i.etsystatic.com/34205481/r/il/ef1253/4006881786/il_fullxfull.4006881786_mqsb.jpg,https://i.etsystatic.com/34205481/r/il/783120/4006882282/il_fullxfull.4006882282_knnh.jpg,"Custom Property",Sizes,"XS,M,L,XL,2XL",,,,"31441118376563229437,35403530643323605117,57246008216790345235,88521686828416995583,94938783179911470903"
"Baseball tee, unisex custom tee","Custom Baseball Tee Fun and stylish shirt for the patriotic. Every order that we receive is made at the time that we receive it which means it is Custom made for you! We produce our items in our facility which is located in Charlotte, NC. ***Shipping Methods First Class (3-5 business days in transit) Priority (2-3 business days in transit) Priority Express (1-2 business days in transit) Please keep in mind that there are no guaranteed delivery dates. Priority express is the only shipping method that is “guaranteed” and that only means that if it doesn’t get delivered by the date it says, you will get your money refunded. Please leave feedback so I know what I need to do to make my store better fit YOUR needs. Thank you so much! Brandy",25,USD,50,"baseball_style,fun_and_sassy,beer_drinkers,patriotic_people,minimalist_wooman,mom_tee,4,July_4_tee,tee,4th_of_July_T,July_4_apparel,Independence_Day_tee",,https://i.etsystatic.com/34205481/r/il/a0475e/4239187924/il_fullxfull.4239187924_mn8i.jpg,https://i.etsystatic.com/34205481/r/il/0195bd/4286838105/il_fullxfull.4286838105_mgu9.jpg,https://i.etsystatic.com/34205481/r/il/2968aa/4239187970/il_fullxfull.4239187970_bcy6.jpg,https://i.etsystatic.com/34205481/r/il/39317d/4239188040/il_fullxfull.4239188040_bqdn.jpg,https://i.etsystatic.com/34205481/r/il/cf9296/4286838351/il_fullxfull.4286838351_nnwn.jpg,https://i.etsystatic.com/34205481/r/il/0bd61d/4239188174/il_fullxfull.4239188174_btu5.jpg,,,,,"Custom Property",Size,"XS,S,M,L,XL",,,,"62AD3D97D7E97_8329,62AD3D97D7E97_8333,62AD3D97D7E97_8330,62AD3D97D7E97_8331,62AD3D97D7E97_8332"
"Champion Women's  Cropped T Shirt  No Bra Club","Edgy crop top for the ladies that live on the edge. Let out your rebel side, you only live once.

Champion is back with another addition – the Champion Heritage t-shirt for women. Made with 100% cotton, this jersey puts both comfort and style at the forefront. With the signature “C” Champion logo patch on the left cuff, durable, double-needle stitching throughout the shirt, and a modern, cropped fit – this shirt has all the markings of an instant classic. 
.: 100% cotton jersey
.: Medium fabric (7.0 oz /yd² (240 g/m²))
.: Modern cropped fit
.: Sewn-in label
.: ""C"" logo on the left sleeve",28.63,USD,4995,"soft_and_comfy,trendy_and_real,minimalist_fashion,edgy_tee,graphic_tee",,https://i.etsystatic.com/34205481/r/il/ad51ce/4199343553/il_fullxfull.4199343553_n0p1.jpg,https://i.etsystatic.com/34205481/r/il/d8bdcf/3983687244/il_fullxfull.3983687244_rr4x.jpg,https://i.etsystatic.com/34205481/r/il/76940f/4031341683/il_fullxfull.4031341683_dm0d.jpg,https://i.etsystatic.com/34205481/r/il/76384b/4151689722/il_fullxfull.4151689722_ta81.jpg,https://i.etsystatic.com/34205481/r/il/eb5681/4151689858/il_fullxfull.4151689858_h1at.jpg,https://i.etsystatic.com/34205481/r/il/92b2af/4199342039/il_fullxfull.4199342039_1f8j.jpg,,,,,"Custom Property",Sizes,"XS,S,M,L,XL,2XL",,,,"71370893428730689974,17492244638490911088,12572584574209337350,84840697615233753208,15881956662599539926,15704193243654235412"
"Mommy To Be Heart Necklace","Two hearts embellished with Cubic Zirconia stones, interlocked together as a symbol of never-ending love. Made with high quality polished surgical steel. Cable chain measures 18 inches with a 4 inch extension, and fastens with a lobster clasp.
Pendant Dimensions: 
• Height 0.6"" (1.5cm)
• Width 1.1"" (2.7cm)
• Adjustable cable chain 18""-22""",49.95,USD,5,"Mommy_to_be,baby_shower,gift_for_daughter,daughter_in_law,feminine_gift,minimalist_gift",,https://i.etsystatic.com/34205481/r/il/3053ef/3884851511/il_fullxfull.3884851511_tqnq.jpg,https://i.etsystatic.com/34205481/r/il/a64770/3884851455/il_fullxfull.3884851455_1alc.jpg,https://i.etsystatic.com/34205481/r/il/1a2d33/3884851391/il_fullxfull.3884851391_6mtv.jpg,https://i.etsystatic.com/34205481/r/il/192d0c/3884851349/il_fullxfull.3884851349_15nd.jpg,https://i.etsystatic.com/34205481/r/il/883ac4/3884851279/il_fullxfull.3884851279_rjos.jpg,https://i.etsystatic.com/34205481/r/il/bb15e3/3837352408/il_fullxfull.3837352408_twfl.jpg,,,,,Style,Style,"Interlocking Heart Necklace,Interlocking Hearts with Luxury Box & MC",,,,"SO-5733694,SO-5733693"
"To My Daughter Dainty Heart Necklace","Two hearts embellished with Cubic Zirconia stones, interlocked together as a symbol of never-ending love. Made with high quality polished surgical steel. Cable chain measures 18 inches with a 4 inch extension, and fastens with a lobster clasp.
Pendant Dimensions: 
• Height 0.6"" (1.5cm)
• Width 1.1"" (2.7cm)
• Adjustable cable chain 18""-22""",49.95,USD,4,"dainty_feminine_gift,minimalist_gift,pretty_necklace,fancy_daughter,pretty_daughter,interlocking_hearts,pretty_hearts,special_daughter,love_my_daughter,favorite_girl,my_baby_girl,girl_gift,birthday_gift",,https://i.etsystatic.com/34205481/r/il/44dca6/3802162050/il_fullxfull.3802162050_ihwh.jpg,https://i.etsystatic.com/34205481/r/il/cc7656/3804578305/il_fullxfull.3804578305_ah20.jpg,https://i.etsystatic.com/34205481/r/il/606a65/3756984492/il_fullxfull.3756984492_se84.jpg,https://i.etsystatic.com/34205481/r/il/0092b0/3802161934/il_fullxfull.3802161934_jrx6.jpg,https://i.etsystatic.com/34205481/r/il/a60149/3802162218/il_fullxfull.3802162218_r7qn.jpg,https://i.etsystatic.com/34205481/r/il/1221e7/3849689239/il_fullxfull.3849689239_mqa0.jpg,https://i.etsystatic.com/34205481/r/il/33faf5/3849689643/il_fullxfull.3849689643_tsj1.jpg,https://i.etsystatic.com/34205481/r/il/f7606d/3816231616/il_fullxfull.3816231616_ejj4.jpg,https://i.etsystatic.com/34205481/r/il/d42dd1/3863753039/il_fullxfull.3863753039_jj8z.jpg,https://i.etsystatic.com/34205481/r/il/234bd6/3863753475/il_fullxfull.3863753475_n22d.jpg,Style,Style,"Interlocking Heart Necklace,Interlocking Hearts with Luxury Box & MC",,,,"SO-5392386,SO-5392389"
"Mom You are the world to me","Give a loving gift that will make her heart melt! 
This dazzling Forever Love Necklace features a polished heart pendant surrounding a flawless 6.5mm cubic zirconia, embellished with smaller crystals adding extra sparkle and shine. 

The pendant is crafted in your choice of 14K white gold finish or 18K yellow gold finish, and dangles from an adjustable cable chain secured with a lobster clasp.

Product Details:
• 14K white gold finish or 18K yellow gold finish
• Adjustable cable chain 18"" - 22""
• 6.5mm round cut cubic zirconia
• Height 0.8"" (2.2cm) Width 0.7"" (1.8cm)",49.95,USD,5,"to_mom_the_world,love_daughter,gift_for_her,mothers_day,love_mom,best_mom,feminine_gift,minimalist_gift,you_are_the_world,to_mother_gift,fancy_necklace,pretty_necklace,mother_of_bride",,https://i.etsystatic.com/34205481/r/il/dca291/3806864464/il_fullxfull.3806864464_csh5.jpg,https://i.etsystatic.com/34205481/r/il/6457d5/3863718995/il_fullxfull.3863718995_adm8.jpg,https://i.etsystatic.com/34205481/r/il/2d65f9/3816197308/il_fullxfull.3816197308_pma4.jpg,https://i.etsystatic.com/34205481/r/il/efb7d5/3863715557/il_fullxfull.3863715557_c40l.jpg,https://i.etsystatic.com/34205481/r/il/9662bd/3863715211/il_fullxfull.3863715211_jblo.jpg,https://i.etsystatic.com/34205481/r/il/c66c9f/3863715025/il_fullxfull.3863715025_p037.jpg,https://i.etsystatic.com/34205481/r/il/8ba385/3816193130/il_fullxfull.3816193130_iibc.jpg,https://i.etsystatic.com/34205481/r/il/be3d1e/3806864754/il_fullxfull.3806864754_h3ap.jpg,https://i.etsystatic.com/34205481/r/il/c0dfaf/3806864540/il_fullxfull.3806864540_99ct.jpg,https://i.etsystatic.com/34205481/r/il/c246a7/3806864198/il_fullxfull.3806864198_doud.jpg,Style,Style,"White Gold Forever Love,Gold Forever Love",,,,"SO-5608708,SO-5608709"
"Mother's Hold their children's hearts forever bracelet","Make your loved one feel special with this adorable Infinity Bracelet gift! Her heart will swell with joy!
Personalized with add-on circle charms, our team will hand stamp letters or numbers of your choice, 1 character per charm, up to 4 charms per bracelet. The letters could represent her initials, her loved ones initials, a special date, and more!
Our Infinity Bracelets are dipped in 18K yellow gold. The shimmering charms feature a modern, readable font style from A-Z or 0-9 (zero through nine). The adjustable satellite chain fits most wrist sizes, measuring 7"" - 9"" in length (17.78 cm - 22.86 cm). 
This is a perfect gift for moms, daughters, best friends, or for yourself! Get yours today!

PRODUCT SPECS: 
• Bracelet & Infinity Symbol Materials: 18K Yellow Gold over Stainless Steel
• Adjustable Bracelet Length: 7""- 9"" (17.78 cm - 22.86 cm)
• Lobster Clasp Attachment
• Charm Materials: 18K Yellow Gold over Sterling Silver 
• Charm Size: 0.3"" (7mm)
• 1 Character Per Charm - Uppercase English Alphabet (A-Z), Numbers (0-9) or ♥️ ",54.95,USD,5,"gifts_for_mom,dainty_personalized,dainty_for_mom,fancy_bracelet,gift_for_her,bridesmaid_gift,bff_gift,custom_bracelet,mama_gift,pretty_for_mom,silver_bracelet,gold_bracelet,mother_of_bride",,https://i.etsystatic.com/34205481/r/il/5b629e/3863729265/il_fullxfull.3863729265_pcll.jpg,https://i.etsystatic.com/34205481/r/il/ef3a7d/3816207784/il_fullxfull.3816207784_843w.jpg,https://i.etsystatic.com/34205481/r/il/d98440/3863729105/il_fullxfull.3863729105_qkrq.jpg,https://i.etsystatic.com/34205481/r/il/fce834/3816112432/il_fullxfull.3816112432_fuo7.jpg,https://i.etsystatic.com/34205481/r/il/19af88/3816111980/il_fullxfull.3816111980_ennu.jpg,https://i.etsystatic.com/34205481/r/il/6a7a8b/3857730425/il_fullxfull.3857730425_p17i.jpg,https://i.etsystatic.com/34205481/r/il/f78717/3816138784/il_fullxfull.3816138784_j8k8.jpg,,,,Style,Style,"Gold Infinity Bracelet + 1 Charm,Gold Infinity Bracelet + 2 Charms,Gold Infinity Bracelet + 3 Charms,Gold Infinity Bracelet + 4 Charms",,,,"SO-5622450,SO-5622451,SO-5622452,SO-5622453"
"Mom Thanks for being my anchor","Straight from the ship to the bottom of the ocean, the purpose of an anchor is amazing: it grounds the ship, keeping it in place among the ever-changing sea. Represent that grounding force with this artisan crafted Friendship Anchor Pendant and 16 - 22 inch adjustable cable necklace in highly polished .316L Stainless Steel. Attaches with a lobster clasp. Featuring an anchor charm complete with a stylized heart, this necklace will remind you or the ones closest to you to remain calm through all of the challenges that life throws at you, and that you are the captain of your own ship. Pendant Dimensions: -Height 0.7"" (1.8cm) -Width 0.6"" (1.5cm)",39.95,USD,5,"mom_my_anchor,anchor_mom_necklace,personalized_mom,thanks_mom_gift,for_my_mother,gold_anchor_necklace,white_gold_anchor,dainty_anchor,special_mom_gift,sorry_gift,mother_of_bride,minimalist_gift,feminine_anchor_gift",,https://i.etsystatic.com/34205481/r/il/98ece9/3854394711/il_fullxfull.3854394711_df3m.jpg,https://i.etsystatic.com/34205481/r/il/204339/3816216352/il_fullxfull.3816216352_cv0g.jpg,https://i.etsystatic.com/34205481/r/il/49eae7/3816215914/il_fullxfull.3816215914_5rer.jpg,https://i.etsystatic.com/34205481/r/il/cef1c4/3816215656/il_fullxfull.3816215656_2it9.jpg,https://i.etsystatic.com/34205481/r/il/f4995b/3806868614/il_fullxfull.3806868614_756z.jpg,https://i.etsystatic.com/34205481/r/il/31dd72/3806868382/il_fullxfull.3806868382_ikmv.jpg,https://i.etsystatic.com/34205481/r/il/8f7f2b/3816217642/il_fullxfull.3816217642_6kgb.jpg,https://i.etsystatic.com/34205481/r/il/60c649/3863740339/il_fullxfull.3863740339_b6xc.jpg,https://i.etsystatic.com/34205481/r/il/114e82/3854394213/il_fullxfull.3854394213_a17b.jpg,https://i.etsystatic.com/34205481/r/il/735464/3863739929/il_fullxfull.3863739929_hxlz.jpg,Style,Style,"Anchor Necklace with POD Message Card,Gold Anchor with POD Message Card,Anchor Necklace with POD Message Card / Luxury Box,Gold Anchor with POD Message Card / Luxury Box",,,,"SO-5608718,SO-5608719,SO-5608716,SO-5608717"
